issuer_name,cusip,instrument_id,mi_key,actual_spread,predicted_spread,cheapness_bps,downgrade_prob_4q,sp_rating,rating_numeric,modified_duration,quadrant,rv_long_score,rv_short_score
"Fossil Group, Inc.",34988VAF3,SPS1963035776,4275565,1430.12246,287.3219122240395,1142.8005477759605,0.01618737282787186,CCC+,17.0,2.55098,Long (cheap+safe),1124.301609241215,-18.49893853474566
EQT Corporation,294549AE0,SPS14035183,4004341,1196.31015,136.47006594757798,1059.840084052422,0.0347949480644405,BBB-,10.0,0.12289,Long (cheap+safe),1022.9630033712058,-36.87708068121628
"Fossil Group, Inc.",34988VAE6,SPS1964272605,4275565,1047.85404,338.7464329051338,709.1076070948661,0.01618737282787186,CCC+,17.0,2.17956,Long (cheap+safe),697.6290178837414,-11.478589211124671
Kohl's Corporation,500255AD6,SPS14072657,4120239,602.16751,383.8700523698543,218.2974576301457,0.07871325928778361,BB-,13.0,2.513,Long (cheap+safe),201.11455324584009,-17.182904384305616
Kohl's Corporation,500255AE4,SPS32217180,4120239,602.16751,383.8700523698543,218.2974576301457,0.07871325928778361,BB-,13.0,2.513,Long (cheap+safe),201.11455324584009,-17.182904384305616
Kohl's Corporation,500255AF1,SPS14076758,4120239,602.16751,383.8700523698543,218.2974576301457,0.07871325928778361,BB-,13.0,2.513,Long (cheap+safe),201.11455324584009,-17.182904384305616
Kohl's Corporation,500255AN4,SPS14127138,4120239,605.75811,414.1992156356904,191.5588943643096,0.07871325928778361,BB-,13.0,4.99633,Long (cheap+safe),176.48066944333056,-15.078224920979052
"Viasat, Inc.",887317AE5,,4120680,530.70151,241.99357028209593,288.7079397179041,,BB,12.0,8.06027,Long (cheap+safe),144.35396985895204,-144.35396985895204
"Viasat, Inc.",G9158GAW8,,7491674,585.87773,313.127067288145,272.75066271185506,,CCC,18.0,8.76223,Long (cheap+safe),136.37533135592753,-136.37533135592753
"Kyndryl Holdings, Inc.",50155QAH3,SPS1684635062,29724772,258.04308,174.03445417419258,84.0086258258074,0.031770757502313764,BBB-,10.0,10.28588,Long (cheap+safe),81.33960814659306,-2.66901767921434
Oracle Corporation,68389XBY0,SPS661501798,4041363,242.55097,161.89520132626183,80.65576867373818,0.06803903236154607,BBB,9.0,14.16952,Long (cheap+safe),75.16802821880033,-5.487740454937846
Oracle Corporation,68389XBW4,SPS661501797,4041363,203.42802,133.4628261199091,69.96519388009091,0.06803903236154607,BBB,9.0,10.02648,Long (cheap+safe),65.20482978950156,-4.76036409058935
"Viasat, Inc.",G9158GAY4,,7491674,424.77702,297.3085780561093,127.4684419438907,,CCC,18.0,6.20053,Long (cheap+safe),63.73422097194535,-63.73422097194535
Oracle Corporation,68389XBX2,SPS661501800,4041363,228.44574,161.89520132626183,66.55053867373817,0.06803903236154607,BBB,9.0,13.20571,Long (cheap+safe),62.02250441923738,-4.5280342545007946
Verizon Communications Inc.,92346MGP0,SPS430326192,4057229,181.80809,124.31157055552674,57.49651944447325,0.15600550682903952,BBB+,8.0,3.7556,Trap (cheap+risky),48.52674578763247,-8.969773656840776
Halliburton Company,406216AS0,SPS14176439,4010641,225.89349,163.56681592864174,62.32667407135827,0.2654350501801213,BBB+,8.0,14.3319,Trap (cheap+risky),45.782990211667226,-16.543683859691047
Ford Motor Company,345370BS8,SPS14043002,113873,288.54295,241.21398541195342,47.3289645880466,0.26437653427850316,BBB-,10.0,13.35887,Trap (cheap+risky),34.81629695926884,-12.512667628777765
"HCA Healthcare, Inc.",197677AH0,SPS14027088,4283738,252.49332,209.21353180166307,43.279788198336945,0.24742404479390925,BBB-,10.0,14.03316,Trap (cheap+risky),32.57132794448072,-10.708460253856225
"Kinder Morgan, Inc.",482620AX9,SPS14053447,4275772,202.18386,168.55140832119042,33.63245167880959,0.046972647254613906,BBB+,8.0,14.91827,Long (cheap+safe),32.05264638979302,-1.57980528901657
"Viasat, Inc.",88948ACZ8,,7409132,330.26103,269.2993737771013,60.96165622289868,,B+,14.0,20.05467,Long (cheap+safe),30.48082811144934,-30.48082811144934
